Ticker,Price,Volume,Timestamp,% Change,RVOL,AI Signal,Autonomous Rank,Watchlist Status,Market Leader,Sector,Sector Rotation,Opportunity Score,Institutional Signal,Smart Money,Opportunity Type,Trade Plan,Entry Price,Stop Loss,Target 1,Target 2,Target 3,Trade Quality,Risk Classification,Portfolio Priority,Capital Allocation,Portfolio Balance,Heatmap Signal,Market Sentiment,AI Conviction,Execution Readiness
GOOGL,382.29,15197770,2026-05-22 23:43:36.607271,0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,382.29,370.82,393.76,405.23,420.52,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
TEM,46.04,3944057,2026-05-22 23:43:36.732607,0.08,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,46.04,44.66,47.42,48.8,50.64,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
MU,745.56,32239320,2026-05-22 23:43:37.042329,-0.01,0,No Signal,0,Normal,No,Semiconductors,Neutral,0,Neutral,Neutral,Neutral,No Trade,745.56,723.19,767.93,790.29,820.12,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
SMCI,35.22,36108832,2026-05-22 23:43:37.200815,-0.12,0,No Signal,0,Normal,No,Semiconductors,Neutral,0,Neutral,Neutral,Neutral,No Trade,35.22,34.16,36.28,37.33,38.74,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
COIN,184.29,7000832,2026-05-22 23:43:37.375032,-0.19,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,184.29,178.76,189.82,195.35,202.72,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
EOSE,7.97,23178891,2026-05-22 23:43:37.495037,0.51,0,No Signal,0,Normal,No,Energy/Nuclear,Neutral,0,Neutral,Neutral,Neutral,No Trade,7.97,7.73,8.21,8.45,8.77,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
IREN,56.23,31978410,2026-05-22 23:43:37.855946,0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,56.23,54.54,57.92,59.61,61.85,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
AI,9.25,3929196,2026-05-22 23:43:37.987613,-0.43,0,No Signal,0,Normal,No,AI Software,Neutral,0,Neutral,Neutral,Neutral,No Trade,9.25,8.97,9.53,9.8,10.18,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
LUNR,38.15,13463439,2026-05-22 23:43:38.183559,0.03,0,No Signal,0,Normal,No,Space,Neutral,0,Neutral,Neutral,Neutral,No Trade,38.15,37.01,39.29,40.44,41.96,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
DDOG,221.64,2759294,2026-05-22 23:43:38.427125,-0.1,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,221.64,214.99,228.29,234.94,243.8,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
ASTS,105.6,26332069,2026-05-22 23:43:38.575221,-0.04,0,No Signal,0,Normal,No,Space,Neutral,0,Neutral,Neutral,Neutral,No Trade,105.6,102.43,108.77,111.94,116.16,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
TSM,403.49,6062886,2026-05-22 23:43:38.727835,0.01,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,403.49,391.39,415.59,427.7,443.84,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
SMR,11.34,28050079,2026-05-22 23:43:38.873063,-0.26,0,No Signal,0,Normal,No,Energy/Nuclear,Neutral,0,Neutral,Neutral,Neutral,No Trade,11.34,11.0,11.68,12.02,12.47,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
META,607.35,9242279,2026-05-22 23:43:39.063750,-0.02,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,607.35,589.13,625.57,643.79,668.08,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
CAVA,80.28,1859002,2026-05-22 23:43:39.203535,0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,80.28,77.87,82.69,85.1,88.31,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
CEG,293.8,2402699,2026-05-22 23:43:39.341275,-0.06,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,293.8,284.99,302.61,311.43,323.18,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
MARA,13.77,38588214,2026-05-22 23:43:39.535942,0.15,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,13.77,13.36,14.18,14.6,15.15,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
RIOT,24.31,10474841,2026-05-22 23:43:39.720888,0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,24.31,23.58,25.04,25.77,26.74,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
SMCI,35.22,36108832,2026-05-23 16:48:25.719786,-0.12,0,No Signal,0,Normal,No,Semiconductors,Neutral,0,Neutral,Neutral,Neutral,No Trade,35.22,34.16,36.28,37.33,38.74,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
DDOG,221.64,2759294,2026-05-23 16:48:25.911704,-0.1,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,221.64,214.99,228.29,234.94,243.8,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
GOOGL,382.29,15197770,2026-05-23 16:48:26.106373,0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,382.29,370.82,393.76,405.23,420.52,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
MRVL,195.2,16994824,2026-05-23 16:48:26.363252,-0.15,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,195.2,189.34,201.06,206.91,214.72,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
ARM,304.08,13371940,2026-05-23 16:48:26.649442,-0.07,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,304.08,294.96,313.2,322.32,334.49,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
VST,156.0,5829146,2026-05-23 16:48:26.919282,-0.28,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,156.0,151.32,160.68,165.36,171.6,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
PATH,10.92,36860808,2026-05-23 16:48:27.153901,0.32,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,10.92,10.59,11.25,11.58,12.01,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
MSTR,158.75,11144313,2026-05-23 16:48:27.380762,0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,158.75,153.99,163.51,168.28,174.62,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
SOUN,8.16,31698389,2026-05-23 16:48:27.563537,0.0,0,No Signal,0,Normal,No,AI Software,Neutral,0,Neutral,Neutral,Neutral,No Trade,8.16,7.92,8.4,8.65,8.98,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
RGTI,25.86,185464079,2026-05-23 16:48:27.767132,0.27,0,No Signal,0,Normal,No,Quantum,Neutral,0,Neutral,Neutral,Neutral,No Trade,25.86,25.08,26.63,27.41,28.45,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
LUNR,38.15,13463439,2026-05-23 16:48:27.936423,0.03,0,No Signal,0,Normal,No,Space,Neutral,0,Neutral,Neutral,Neutral,No Trade,38.15,37.01,39.29,40.44,41.96,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
HOOD,73.32,18886219,2026-05-23 16:48:28.159337,-0.1,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,73.32,71.12,75.52,77.72,80.65,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
NVDA,214.3,148755979,2026-05-23 16:48:28.378183,-0.01,0,No Signal,0,Normal,No,Semiconductors,Neutral,0,Neutral,Neutral,Neutral,No Trade,214.3,207.87,220.73,227.16,235.73,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
QBTS,28.63,133923061,2026-05-23 16:48:28.617037,-0.38,0,No Signal,0,Normal,No,Quantum,Neutral,0,Neutral,Neutral,Neutral,No Trade,28.63,27.77,29.49,30.35,31.49,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
PLTR,135.94,23828981,2026-05-23 16:48:28.934124,0.05,0,No Signal,0,Normal,No,AI Software,Neutral,0,Neutral,Neutral,Neutral,No Trade,135.94,131.86,140.02,144.1,149.53,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
ASTS,105.6,26332069,2026-05-23 16:48:29.298855,-0.04,0,No Signal,0,Normal,No,Space,Neutral,0,Neutral,Neutral,Neutral,No Trade,105.6,102.43,108.77,111.94,116.16,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
NNE,26.51,1992829,2026-05-23 16:48:29.628258,0.04,0,No Signal,0,Normal,No,Energy/Nuclear,Neutral,0,Neutral,Neutral,Neutral,No Trade,26.51,25.71,27.31,28.1,29.16,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
RIOT,24.31,10474841,2026-05-23 16:48:29.841370,0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,24.31,23.58,25.04,25.77,26.74,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
AAPL,308.4,34968851,2026-05-23 16:48:30.016833,-0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,308.4,299.15,317.65,326.9,339.24,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
IREN,56.23,31978410,2026-05-23 16:48:30.195111,0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,56.23,54.54,57.92,59.61,61.85,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
JOBY,10.84,34383699,2026-05-23 16:48:30.354512,0.0,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,10.84,10.52,11.17,11.49,11.92,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
TEM,46.04,3944057,2026-05-23 16:48:30.518754,0.08,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,46.04,44.66,47.42,48.8,50.64,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
TSLA,423.68,42791546,2026-05-23 16:48:30.778556,-0.04,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,423.68,410.97,436.39,449.1,466.05,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
ACHR,6.29,77019716,2026-05-23 16:48:31.014802,-0.16,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,6.29,6.1,6.48,6.67,6.92,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
META,607.35,9242279,2026-05-23 16:48:31.230467,-0.02,0,No Signal,0,Normal,No,Other,Neutral,0,Neutral,Neutral,Neutral,No Trade,607.35,589.13,625.57,643.79,668.08,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
AMD,462.75,34518323,2026-05-23 16:48:31.445185,-0.05,0,No Signal,0,Normal,No,Semiconductors,Neutral,0,Neutral,Neutral,Neutral,No Trade,462.75,448.87,476.63,490.52,509.02,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
QUBT,12.2,65466606,2026-05-23 16:48:31.698999,0.16,0,No Signal,0,Normal,No,Quantum,Neutral,0,Neutral,Neutral,Neutral,No Trade,12.2,11.83,12.57,12.93,13.42,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
